Order1	Name1	Order2	Name2	1->2%	Dummy	Color1	Color2
0	Carnegie Mellon University	0	Carnegie Mellon University	0.01270513499205929	1	Carnegie Mellon University	Carnegie Mellon University
0	Carnegie Mellon University	1	Massachusetts Institute of Technology	0.0010587612493382743	1	Carnegie Mellon University	Massachusetts Institute of Technology
0	Carnegie Mellon University	2	Stanford University	0.0031762837480148226	1	Carnegie Mellon University	Stanford University
0	Carnegie Mellon University	3	University of California - Berkeley	0.0021175224986765486	1	Carnegie Mellon University	University of California - Berkeley
0	Carnegie Mellon University	4	University of Illinois at Urbana-Champaign	0.0015881418740074113	1	Carnegie Mellon University	University of Illinois at Urbana-Champaign
0	Carnegie Mellon University	5	Cornell University	0.0	1	Carnegie Mellon University	Cornell University
0	Carnegie Mellon University	6	Georgia Institute of Technology	0.005293806246691371	1	Carnegie Mellon University	Georgia Institute of Technology
0	Carnegie Mellon University	7	University of Washington	0.0021175224986765486	1	Carnegie Mellon University	University of Washington
0	Carnegie Mellon University	8	University of Michigan	0.0026469031233456856	1	Carnegie Mellon University	University of Michigan
0	Carnegie Mellon University	9	University of Maryland - College Park	0.0010587612493382743	1	Carnegie Mellon University	University of Maryland - College Park
0	Carnegie Mellon University	10	University of California - Los Angeles	0.0010587612493382743	1	Carnegie Mellon University	University of California - Los Angeles
0	Carnegie Mellon University	11	University of California - San Diego	0.0005293806246691371	1	Carnegie Mellon University	University of California - San Diego
0	Carnegie Mellon University	12	University of Southern California	0.004235044997353097	1	Carnegie Mellon University	University of Southern California
0	Carnegie Mellon University	13	University of Texas - Austin	0.0005293806246691371	1	Carnegie Mellon University	University of Texas - Austin
0	Carnegie Mellon University	14	Columbia University	0.0015881418740074113	1	Carnegie Mellon University	Columbia University
0	Carnegie Mellon University	15	Princeton University	0.0010587612493382743	1	Carnegie Mellon University	Princeton University
0	Carnegie Mellon University	16	University of California - Irvine	0.0	1	Carnegie Mellon University	University of California - Irvine
0	Carnegie Mellon University	17	Northwestern University	0.0015881418740074113	1	Carnegie Mellon University	Northwestern University
0	Carnegie Mellon University	18	University of Pennsylvania	0.0010587612493382743	1	Carnegie Mellon University	University of Pennsylvania
0	Carnegie Mellon University	19	Yale University	0.0005293806246691371	1	Carnegie Mellon University	Yale University
0	Carnegie Mellon University	20	Duke University	0.0010587612493382743	1	Carnegie Mellon University	Duke University
0	Carnegie Mellon University	21	New York University	0.0005293806246691371	1	Carnegie Mellon University	New York University
0	Carnegie Mellon University	22	Purdue University	0.0010587612493382743	1	Carnegie Mellon University	Purdue University
0	Carnegie Mellon University	23	North Carolina State University	0.0	1	Carnegie Mellon University	North Carolina State University
0	Carnegie Mellon University	24	University of Utah	0.0005293806246691371	1	Carnegie Mellon University	University of Utah
0	Carnegie Mellon University	25	Texas A&M University	0.0010587612493382743	1	Carnegie Mellon University	Texas A&M University
0	Carnegie Mellon University	26	University of Florida	0.0010587612493382743	1	Carnegie Mellon University	University of Florida
0	Carnegie Mellon University	27	Rutgers - State University of New Jersey - New Brunswick	0.0	1	Carnegie Mellon University	Rutgers - State University of New Jersey - New Brunswick
0	Carnegie Mellon University	28	University of Wisconsin - Madison	0.0037056643726839597	1	Carnegie Mellon University	University of Wisconsin - Madison
0	Carnegie Mellon University	29	Ohio State University	0.0	1	Carnegie Mellon University	Ohio State University
0	Carnegie Mellon University	30	Virginia Polytechnic Institute and State University	0.0005293806246691371	1	Carnegie Mellon University	Virginia Polytechnic Institute and State University
0	Carnegie Mellon University	31	University of Massachusetts - Amherst	0.0	1	Carnegie Mellon University	University of Massachusetts - Amherst
0	Carnegie Mellon University	32	State University of New York - Stony Brook	0.0015881418740074113	1	Carnegie Mellon University	State University of New York - Stony Brook
0	Carnegie Mellon University	33	University of Colorado Boulder	0.0	1	Carnegie Mellon University	University of Colorado Boulder
0	Carnegie Mellon University	34	University of Minnesota - Twin Cities	0.0010587612493382743	1	Carnegie Mellon University	University of Minnesota - Twin Cities
0	Carnegie Mellon University	35	Pennsylvania State University	0.0	1	Carnegie Mellon University	Pennsylvania State University
