NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
LA JAMES INTERNATIONAL COLLEGE-JOHNSTON,IA,100,POLK,COSMETOLOGY AND BARBER SCHOOLS,2,89,41.661011746, -93.73838622
KC'S SCHOOL OF HAIR DESIGN,MS,100,PONTOTOC,COSMETOLOGY AND BARBER SCHOOLS,2,94,34.25556139, -89.017408015
BRYAN COLLEGE-GOLD RIVER,CA,100,SACRAMENTO,JUNIOR COLLEGES,2,85,38.623626977, -121.262813099
SEBRING CAREER SCHOOLS-HOUSTON,TX,100,HARRIS,COSMETOLOGY AND BARBER SCHOOLS,3,95,29.704744, -95.645773
TRICOCI UNIVERSITY OF BEAUTY CULTURE-LAFAYETTE,IN,100,TIPPECANOE,COSMETOLOGY AND BARBER SCHOOLS,3,88,40.419819502, -86.887652777
EVERGREEN BEAUTY AND BARBER COLLEGE-BELLEVUE,WA,100,KING,COSMETOLOGY AND BARBER SCHOOLS,3,90,47.627500026, -122.152450976
REGENCY BEAUTY INSTITUTE-COLUMBUS,OH,101,FRANKLIN,COSMETOLOGY AND BARBER SCHOOLS,3,94,40.06499291, -83.023971326
VICTORIA'S ACADEMY OF COSMETOLOGY,WA,101,BENTON,COSMETOLOGY AND BARBER SCHOOLS,3,88,46.208885646, -119.122295922
MONTANA ACADEMY OF SALONS,MT,101,CASCADE,COSMETOLOGY AND BARBER SCHOOLS,2,87,47.498486664, -111.303718902
MASSACHUSETTS SCHOOL OF BARBERING,MA,101,NORFOLK,COSMETOLOGY AND BARBER SCHOOLS,3,92,42.247205981, -71.001905835
WILLIAMSON CHRISTIAN COLLEGE,TN,101,WILLIAMSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,72,35.956366466, -86.825011728
REFORMED PRESBYTERIAN THEOLOGICAL SEMINARY,PA,101,ALLEGHENY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,76,40.447416902, -79.89765665
CALIFORNIA BEAUTY SCHOOL,CA,101,STANISLAUS,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.645435778, -120.997383185
CAIN'S BARBER COLLEGE INC,IL,101,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,90,41.801964751, -87.616843691
JUNG TAO SCHOOL OF CLASSICAL CHINESE MEDICINE,NC,101,WATAUGA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,70,36.263233085, -81.785302563
REGENCY BEAUTY INSTITUTE-EL PASO,TX,101,EL PASO,COSMETOLOGY AND BARBER SCHOOLS,3,95,31.761069506, -106.352850197
THE CREATIVE CENTER,NE,101,DOUGLAS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,78,41.290957551, -96.082680809
OMEGA STUDIOS' SCHOOL OF APPLIED RECORDING ARTS & SCIENCES,MD,101,MONTGOMERY,FINE ARTS SCHOOLS,3,85,39.064396911, -77.113380879
HOUSTON TRAINING SCHOOLS-GESSNER,TX,101,HARRIS,OTHER TECHNICAL AND TRADE SCHOOLS,3,90,29.723354663, -95.540241646
ROSS MEDICAL EDUCATION CENTER-TAYLOR,MI,101,WAYNE,OTHER TECHNICAL AND TRADE SCHOOLS,3,89,42.362021686, -83.276415935
VALLEY COLLEGE-PRINCETON,WV,101,MERCER,JUNIOR COLLEGES,3,89,37.369159307, -81.091857738
COLLEGE OF INTERNATIONAL ESTHETICS INC,CO,102,JEFFERSON,COSMETOLOGY AND BARBER SCHOOLS,3,86,39.790583609, -105.075942601
WINEBRENNER THEOLOGICAL SEMINARY,OH,102,HANCOCK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,64,41.052454376, -83.650572243
J MICHAEL HARROLD BEAUTY ACADEMY,IN,102,VIGO,COSMETOLOGY AND BARBER SCHOOLS,3,92,39.470358643, -87.383391072
MASTERS OF COSMETOLOGY COLLEGE,IN,102,ALLEN,COSMETOLOGY AND BARBER SCHOOLS,2,93,41.052278405, -85.16079995
EMPIRE BEAUTY SCHOOL-OCEAN,NJ,102,MONMOUTH,COSMETOLOGY AND BARBER SCHOOLS,3,89,40.250597138, -74.04104223
EVEREST INSTITUTE-CROSS LANES,WV,102,KANAWHA,JUNIOR COLLEGES,2,63,38.422838656, -81.789863641
ESTELLE SKIN CARE AND SPA INSTITUTE,IL,102,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,86,42.039156708, -87.746631568
HOLLYWOOD INSTITUTE OF BEAUTY CAREERS-CASSELBERRY,FL,102,SEMINOLE,COSMETOLOGY AND BARBER SCHOOLS,3,75,28.633001111, -81.321494078
CIRCLE IN THE SQUARE THEATER SCHOOL,NY,102,NEW YORK,FINE ARTS SCHOOLS,2,69,40.762059431, -73.984606513
TINT SCHOOL OF MAKEUP AND COSMETOLOGY-IRVING,TX,102,DALLAS,COSMETOLOGY AND BARBER SCHOOLS,3,95,32.829662, -96.98076
NORTHWEST COLLEGE-HILLSBORO,OR,103,WASHINGTON,COSMETOLOGY AND BARBER SCHOOLS,2,93,45.521184745, -122.984086845
THE LANDING SCHOOL,ME,103,YORK,JUNIOR COLLEGES,2,78,43.380523091, -70.503497669
TENNESSEE ACADEMY OF COSMETOLOGY-SHELBY DRIVE,TN,103,SHELBY,COSMETOLOGY AND BARBER SCHOOLS,3,96,35.020992439, -89.828675675
NOVA ACADEMY OF COSMETOLOGY,MN,103,OLMSTED,COSMETOLOGY AND BARBER SCHOOLS,3,89,44.040162049, -92.46384832
CENTURA COLLEGE-COLUMBIA,SC,103,RICHLAND,JUNIOR COLLEGES,2,70,34.074692859, -80.9448971
MODEL COLLEGE OF HAIR DESIGN,MN,103,STEARNS,COSMETOLOGY AND BARBER SCHOOLS,3,92,45.55769097, -94.159366903
ROCKLAND COUNTY BOCES-PRACTICAL NURSING PROGRAM,NY,103,ROCKLAND,OTHER TECHNICAL AND TRADE SCHOOLS,3,96,41.120003867, -73.98036603
DUVALL'S SCHOOL OF COSMETOLOGY,TX,103,TARRANT,COSMETOLOGY AND BARBER SCHOOLS,3,89,32.851543965, -97.169279864
CANNELLA SCHOOL OF HAIR DESIGN-CHICAGO,IL,103,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,95,41.731381127, -87.551621607
ACADEMY FOR JEWISH RELIGION-CALIFORNIA,CA,103,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,65,34.06113724, -118.293132278
REGENCY BEAUTY INSTITUTE-ROCKFORD,IL,103,WINNEBAGO,COSMETOLOGY AND BARBER SCHOOLS,3,96,42.264469, -88.982031
JAMESON HEALTH SYSTEM,PA,103,LAWRENCE,OTHER TECHNICAL AND TRADE SCHOOLS,2,84,41.013434117, -80.351752557
WAYNESVILLE CAREER CENTER,MO,103,PULASKI,OTHER TECHNICAL AND TRADE SCHOOLS,3,54,37.811339307, -92.213909525
KAPLAN CAREER INSTITUTE-CLEVELAND,OH,103,CUYAHOGA,JUNIOR COLLEGES,3,91,41.419719144, -81.74717594
ELITE COSMETOLOGY SCHOOL,CA,103,SAN BERNARDINO,COSMETOLOGY AND BARBER SCHOOLS,3,91,34.121175873, -116.435520919
GREATER LOWELL TECHNICAL SCHOOL,MA,103,MIDDLESEX,OTHER TECHNICAL AND TRADE SCHOOLS,3,80,42.653917007, -71.386180387
LOWELL ACADEMY HAIRSTYLING INSTITUTE,MA,103,MIDDLESEX,COSMETOLOGY AND BARBER SCHOOLS,3,95,42.643680103, -71.308096772
ACADEMY OF HAIR DESIGN-LUFKIN,TX,104,ANGELINA,COSMETOLOGY AND BARBER SCHOOLS,3,96,31.331837147, -94.718537108
MIAMI AD SCHOOL-NEW YORK,NY,104,KINGS,OTHER TECHNICAL AND TRADE SCHOOLS,2,99,40.704431, -73.986638
HAIR FASHIONS BY KAYE BEAUTY COLLEGE-INDIANAPOLIS,IN,104,MARION,COSMETOLOGY AND BARBER SCHOOLS,3,92,39.906191933, -86.059087302
CET-SOLEDAD,CA,104,MONTEREY,OTHER TECHNICAL AND TRADE SCHOOLS,3,94,36.414544292, -121.316599775
CENTRAL COLLEGE OF COSMETOLOGY,MO,104,PULASKI,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.814903, -92.14396
TELSHE YESHIVA-CHICAGO,IL,104,COOK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,79,41.97553623, -87.717549587
KIAMICHI TECHNOLOGY CENTER-DURANT,OK,104,BRYAN,OTHER TECHNICAL AND TRADE SCHOOLS,2,80,33.945957216, -96.406142975
REGENCY BEAUTY INSTITUTE-CLEVELAND,OH,104,CUYAHOGA,COSMETOLOGY AND BARBER SCHOOLS,3,98,41.627086682, -81.437083818
RECONSTRUCTIONIST RABBINICAL COLLEGE,PA,104,MONTGOMERY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,45,40.087688888, -75.149505762
REGENCY BEAUTY INSTITUTE-GRAND RAPIDS,MI,104,KENT,COSMETOLOGY AND BARBER SCHOOLS,3,97,43.027986313, -85.690859143
CAROLINA SCHOOL OF BROADCASTING,NC,104,MECKLENBURG,OTHER TECHNICAL AND TRADE SCHOOLS,3,48,35.255856684, -80.983975929
TENNESSEE CAREER INSTITUTE,TN,104,MAURY,COSMETOLOGY AND BARBER SCHOOLS,3,90,35.599771153, -87.077911563
SUSQUEHANNA COUNTY CAREER AND TECHNOLOGY CENTER,PA,104,SUSQUEHANNA,COSMETOLOGY AND BARBER SCHOOLS,3,65,41.786388332, -75.895554695
POPE ST JOHN XXIII NATIONAL SEMINARY,MA,104,MIDDLESEX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,65,42.339837533, -71.310939403
BAIS MEDRASH ELYON,NY,104,ROCKLAND,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,97,41.114078554, -74.069797757
CONTINENTAL SCHOOL OF BEAUTY CULTURE-WEST SENECA,NY,105,ERIE,COSMETOLOGY AND BARBER SCHOOLS,3,95,42.828946072, -78.754765511
CAPRI BEAUTY COLLEGE,IL,105,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,92,41.60386321, -87.771566601
PAUL MITCHELL THE SCHOOL-NASHVILLE,TN,105,DAVIDSON,COSMETOLOGY AND BARBER SCHOOLS,3,91,36.037940531, -86.641025624
HAIR PROFESSIONALS CAREER COLLEGE,IL,105,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,95,41.701407853, -87.816605931
CHARLESTON COSMETOLOGY INSTITUTE,SC,105,DORCHESTER,COSMETOLOGY AND BARBER SCHOOLS,3,95,32.917769907, -80.111987776
MED-ASSIST SCHOOL OF HAWAII INC,HI,105,HONOLULU,OTHER TECHNICAL AND TRADE SCHOOLS,3,92,21.310091, -157.862651
OXFORD ACADEMY OF HAIR DESIGN INC,CT,105,NEW HAVEN,COSMETOLOGY AND BARBER SCHOOLS,3,95,41.39678551, -73.084815632
TONI & GUY HAIRDRESSING ACADEMY-COEUR D ALENE,ID,105,KOOTENAI,COSMETOLOGY AND BARBER SCHOOLS,2,92,47.675314239, -116.781398539
EMPIRE BEAUTY SCHOOL-MILWAUKEE,WI,105,MILWAUKEE,COSMETOLOGY AND BARBER SCHOOLS,2,93,42.94256015, -87.950451694
NATIONAL COLLEGE-STOW,OH,105,SUMMIT,JUNIOR COLLEGES,2,80,41.160865481, -81.400189073
CALIFORNIA CAREER COLLEGE,CA,106,LOS ANGELES,OTHER TECHNICAL AND TRADE SCHOOLS,2,94,34.197566076, -118.60179437
ADULT AND CONTINUING EDUCATION-BCTS,NJ,106,BERGEN,OTHER TECHNICAL AND TRADE SCHOOLS,3,90,40.902141018, -74.034389766
ALHAMBRA BEAUTY COLLEGE,CA,106,LOS ANGELES,COSMETOLOGY AND BARBER SCHOOLS,3,92,34.093916045, -118.129040652
PCI COLLEGE,CA,106,LOS ANGELES,OTHER TECHNICAL AND TRADE SCHOOLS,2,94,33.87475043, -118.100168872
THE PROCESS INSTITUTE OF COSMETOLOGY,GA,106,GWINNETT,COSMETOLOGY AND BARBER SCHOOLS,3,90,33.964889268, -84.022574695
WADE GORDON HAIRDRESSING ACADEMY,TX,106,POTTER,COSMETOLOGY AND BARBER SCHOOLS,3,97,35.184540706, -101.926060532
MASSAGE THERAPY INSTITUTE OF COLORADO,CO,106,DENVER,OTHER TECHNICAL AND TRADE SCHOOLS,3,61,39.739430733, -104.960030155
BLUE SKY SCHOOL OF PROFESSIONAL MASSAGE AND THERAPEUTIC BODY,WI,106,OZAUKEE,OTHER TECHNICAL AND TRADE SCHOOLS,3,72,43.308723178, -87.957565037
ADVANCED TRAINING ASSOCIATES,CA,106,SAN DIEGO,JUNIOR COLLEGES,2,85,32.819022572, -116.981780975
NATIONAL COLLEGE-CANTON,OH,106,STARK,JUNIOR COLLEGES,2,73,40.850711898, -81.435798167
MICHIGAN BARBER SCHOOL INC,MI,107,WAYNE,OTHER TECHNICAL AND TRADE SCHOOLS,2,92,42.364892, -83.12898
HEALTHCARE TRAINING INSTITUTE,NJ,107,UNION,OTHER TECHNICAL AND TRADE SCHOOLS,2,76,40.696406059, -74.268447059
FORTIS COLLEGE-AKRON,OH,107,SUMMIT,OTHER TECHNICAL AND TRADE SCHOOLS,3,93,41.099817438, -81.477353391
BJ'S BEAUTY & BARBER COLLEGE,WA,107,PIERCE,COSMETOLOGY AND BARBER SCHOOLS,2,98,47.208343919, -122.483443029
CREATIVE IMAGES INSTITUTE OF COSMETOLOGY-SOUTH DAYTON,OH,107,MONTGOMERY,COSMETOLOGY AND BARBER SCHOOLS,2,96,39.627019015, -84.174179072
TINT SCHOOL OF MAKEUP & COSMETOLOGY-SEATTLE,WA,107,KING,COSMETOLOGY AND BARBER SCHOOLS,3,95,47.611614173, -122.338693172
INTERNATIONAL BAPTIST COLLEGE AND SEMINARY,AZ,107,MARICOPA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,69,33.275621199, -111.879558485
BLADES SCHOOL OF HAIR DESIGN,MD,107,ST. MARY'S,COSMETOLOGY AND BARBER SCHOOLS,3,99,38.286908178, -76.485232202
CITY VISION COLLEGE,MO,107,JACKSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,80,39.070952583, -94.576142479
WILLOUGHBY-EASTLAKE SCHOOL OF PRACTICAL NURSING,OH,107,LAKE,OTHER TECHNICAL AND TRADE SCHOOLS,3,99,41.638124889, -81.406808931
CENTRAL SUSQUEHANNA INTERMEDIATE UNIT LPN CAREER,PA,107,UNION,OTHER TECHNICAL AND TRADE SCHOOLS,3,92,40.873776486, -76.783493462
PENSACOLA SCHOOL OF MASSAGE THERAPY & HEALTH CAREERS,FL,107,ESCAMBIA,OTHER TECHNICAL AND TRADE SCHOOLS,3,91,30.494754875, -87.195528611
OHIO BUSINESS COLLEGE-DAYTON,OH,107,MONTGOMERY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",3,92,39.74229221, -84.196007988
WELDER TRAINING AND TESTING INSTITUTE,PA,107,LEHIGH,OTHER TECHNICAL AND TRADE SCHOOLS,3,90,40.626469493, -75.4472635
FIRELANDS REGIONAL MEDICAL CENTER SCHOOL OF NURSING,OH,107,ERIE,OTHER TECHNICAL AND TRADE SCHOOLS,2,89,41.437190446, -82.711890434
TENNESSEE ACADEMY OF COSMETOLOGY-STAGE ROAD,TN,107,SHELBY,COSMETOLOGY AND BARBER SCHOOLS,3,95,35.204103544, -89.828904794
RICCI'S ACADEMY OF COSMETOLOGY,CT,107,FAIRFIELD,COSMETOLOGY AND BARBER SCHOOLS,3,89,41.392878698, -73.290565959
CAMBRIA-ROWE BUSINESS COLLEGE-INDIANA,PA,108,INDIANA,JUNIOR COLLEGES,2,93,40.617385466, -79.166313073
ROSS MEDICAL EDUCATION CENTER-DAYTON,OH,108,MONTGOMERY,OTHER TECHNICAL AND TRADE SCHOOLS,3,89,39.817674861, -84.12819016
THE SALON PROFESSIONAL ACADEMY-KOKOMO,IN,108,HOWARD,COSMETOLOGY AND BARBER SCHOOLS,3,97,40.475805933, -86.106391789
EMPIRE BEAUTY SCHOOL-LOWELL,MA,108,MIDDLESEX,COSMETOLOGY AND BARBER SCHOOLS,3,98,42.642426021, -71.308846867
EXPERTISE COSMETOLOGY INSTITUTE,NV,108,CLARK,COSMETOLOGY AND BARBER SCHOOLS,2,81,36.193798348, -115.164834345
DOMINICAN SCHOOL OF PHILOSOPHY & THEOLOGY,CA,108,ALAMEDA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,80,37.88109867, -122.264612336
CET-WATSONVILLE,CA,108,SANTA CRUZ,OTHER TECHNICAL AND TRADE SCHOOLS,3,96,36.931833006, -121.767991331
EMPIRE BEAUTY SCHOOL-BORDENTOWN,NJ,108,BURLINGTON,COSMETOLOGY AND BARBER SCHOOLS,3,94,40.173970822, -74.702494511
AMERICAN BEAUTY COLLEGE,CA,108,LOS ANGELES,COSMETOLOGY AND BARBER SCHOOLS,3,97,34.069360623, -117.936951014
MONTANA BIBLE COLLEGE,MT,108,GALLATIN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,81,45.655524459, -111.064142505
TEXAS HEALTH SCHOOL,TX,108,HARRIS,OTHER TECHNICAL AND TRADE SCHOOLS,3,92,29.783490033, -95.579709724
STATE CAREER COLLEGE,IL,108,LAKE,OTHER TECHNICAL AND TRADE SCHOOLS,3,97,42.359962354, -87.85281552
CORTIVA INSTITUTE-SCOTTSDALE,AZ,108,MARICOPA,OTHER TECHNICAL AND TRADE SCHOOLS,3,87,33.466554257, -111.908432921
Z HAIR ACADEMY,KS,108,DOUGLAS,COSMETOLOGY AND BARBER SCHOOLS,3,95,38.93991396, -95.26205189
VANGUARD COLLEGE OF COSMETOLOGY-SLIDELL,LA,108,ST. TAMMANY,COSMETOLOGY AND BARBER SCHOOLS,3,94,30.226621626, -89.780983462
STAGE ONE-THE HAIR SCHOOL,LA,109,CALCASIEU,COSMETOLOGY AND BARBER SCHOOLS,3,103,30.195981987, -93.221606042
GWINNETT COLLEGE-SANDY SPRINGS,GA,109,FULTON,OTHER TECHNICAL AND TRADE SCHOOLS,3,84,33.937502422, -84.381268129
STEVENSONS ACADEMY OF HAIR DESIGN,LA,109,ORLEANS,COSMETOLOGY AND BARBER SCHOOLS,3,99,29.948437514, -90.052219262
EMPIRE BEAUTY SCHOOL-LAUREL SPRINGS,NJ,109,CAMDEN,COSMETOLOGY AND BARBER SCHOOLS,3,94,39.805255502, -75.029962959
THE SALON PROFESSIONAL ACADEMY-EVANSVILLE,IN,109,VANDERBURGH,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.987268422, -87.483670823
ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-ROCHESTER,NY,109,MONROE,OTHER TECHNICAL AND TRADE SCHOOLS,3,82,43.159085696, -77.584781318
EMPIRE BEAUTY SCHOOL-CHENOWETH,KY,109,JEFFERSON,COSMETOLOGY AND BARBER SCHOOLS,2,98,38.255763669, -85.65752025
DIGITAL FILM ACADEMY,NY,109,NEW YORK,OTHER TECHNICAL AND TRADE SCHOOLS,3,88,40.760072015, -73.991080248
WHITE EARTH TRIBAL AND COMMUNITY COLLEGE,MN,109,MAHNOMEN,JUNIOR COLLEGES,2,69,47.314039132, -95.968291214
AVIATION INSTITUTE OF MAINTENANCE-KANSAS CITY,MO,109,JACKSON,FLIGHT TRAINING,2,83,39.04986948, -94.498289016
SALTER COLLEGE-CHICOPEE,MA,109,HAMPDEN,JUNIOR COLLEGES,2,81,42.161380622, -72.527407994
CONCEPTION SEMINARY COLLEGE,MO,109,NODAWAY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,93,40.240439651, -94.682830865
EMPIRE BEAUTY SCHOOL-SOMERSWORTH,NH,109,STRAFFORD,COSMETOLOGY AND BARBER SCHOOLS,3,101,43.259324111, -70.904151176
KENNETH SHULER SCHOOL OF COSMETOLOGY AND NAILS-COLUMBIA,SC,109,LEXINGTON,COSMETOLOGY AND BARBER SCHOOLS,3,95,34.045282313, -81.13296914
COSMETOLOGY CAREER INSTITUTE,TX,110,HUNT,COSMETOLOGY AND BARBER SCHOOLS,3,98,33.119311321, -96.107807641
REGENCY BEAUTY INSTITUTE-CYPRESSWOOD,TX,110,HARRIS,COSMETOLOGY AND BARBER SCHOOLS,3,103,30.053717, -95.43141
PARAMOUNT BEAUTY ACADEMY,OH,110,SCIOTO,COSMETOLOGY AND BARBER SCHOOLS,2,97,38.739038657, -82.979350501
TEXAS COLLEGE OF COSMETOLOGY-SAN ANGELO,TX,110,TOM GREEN,COSMETOLOGY AND BARBER SCHOOLS,3,102,31.471862051, -100.442564474
ANGELES COLLEGE,CA,110,LOS ANGELES,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,94,34.061222971, -118.299202304
EMPIRE BEAUTY SCHOOL-LAUDERHILL,FL,110,BROWARD,COSMETOLOGY AND BARBER SCHOOLS,3,99,26.183157312, -80.250995977
THE SALON PROFESSIONAL ACADEMY-KENOSHA,WI,110,KENOSHA,COSMETOLOGY AND BARBER SCHOOLS,2,89,42.558103259, -87.852980109
HEALING ARTS CENTER,MO,110,ST. LOUIS,FINE ARTS SCHOOLS,3,96,38.614624148, -90.322875699
OXFORD GRADUATE SCHOOL,TN,110,RHEA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,88,35.468142434, -85.053773695
CLEVELAND INSTITUTE OF DENTAL-MEDICAL ASSISTANTS-CLEVELAND,OH,110,CUYAHOGA,OTHER TECHNICAL AND TRADE SCHOOLS,3,89,41.500401686, -81.671340568
THE SANTA BARBARA AND VENTURA COLLEGES OF LAW–SANTA BARBARA,CA,110,SANTA BARBARA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,90,34.424495109, -119.705191116
CAREER CENTER OF SOUTHERN ILLINOIS,IL,110,MONROE,OTHER TECHNICAL AND TRADE SCHOOLS,3,82,38.289726674, -89.94878651
INTERFACE COLLEGE-SPOKANE,WA,110,SPOKANE,JUNIOR COLLEGES,2,91,47.66791, -117.417046
EMPIRE BEAUTY SCHOOL-CHANDLER,AZ,110,MARICOPA,COSMETOLOGY AND BARBER SCHOOLS,3,97,33.347585714, -111.860422534
BRIGHTON CENTER'S CENTER FOR EMPLOYMENT TRAINING,KY,110,CAMPBELL,OTHER TECHNICAL AND TRADE SCHOOLS,3,97,39.092550529, -84.490126526
OGLE SCHOOL HAIR SKIN NAILS-NORTH DALLAS,TX,110,DALLAS,COSMETOLOGY AND BARBER SCHOOLS,3,94,32.98415967, -96.803752698
HUSSIAN SCHOOL OF ART,PA,110,PHILADELPHIA,JUNIOR COLLEGES,1,79,39.952851, -75.147292
REGENCY BEAUTY INSTITUTE-SW HOUSTON,TX,110,HARRIS,COSMETOLOGY AND BARBER SCHOOLS,3,104,29.690012689, -95.532502441
HOLLYWOOD INSTITUTE OF BEAUTY CAREERS,FL,110,BROWARD,COSMETOLOGY AND BARBER SCHOOLS,3,79,26.007595084, -80.209206265
INTERNATIONAL BARBER & STYLE COLLEGE,TN,110,DAVIDSON,COSMETOLOGY AND BARBER SCHOOLS,3,100,36.140505, -86.882386
THOMAS MORE COLLEGE OF LIBERAL ARTS,NH,110,HILLSBOROUGH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,93,42.806401488, -71.483963508
PAUL MITCHELL THE SCHOOL-SPRINGFIELD,MO,110,GREENE,COSMETOLOGY AND BARBER SCHOOLS,3,93,37.159134504, -93.318149732
NEW LIFE BUSINESS INSTITUTE,NY,111,QUEENS,BUSINESS AND SECRETARIAL SCHOOLS,3,86,40.703672002, -73.798130632
MIDWEST COLLEGE OF ORIENTAL MEDICINE-RACINE,WI,111,RACINE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,93,42.678051363, -87.856678869
AVEDA INSTITUTE-LAFAYETTE,LA,111,LAFAYETTE,COSMETOLOGY AND BARBER SCHOOLS,3,91,30.206168361, -92.042092241
SOUTH HILLS BEAUTY ACADEMY INC,PA,111,ALLEGHENY,COSMETOLOGY AND BARBER SCHOOLS,3,99,40.389298956, -80.041724755
STAR COLLEGE OF COSMETOLOGY 2,TX,111,SMITH,COSMETOLOGY AND BARBER SCHOOLS,3,100,32.347649199, -95.295745083
STAR TRUCK DRIVING SCHOOL-BENSENVILLE,IL,111,DUPAGE,OTHER TECHNICAL AND TRADE SCHOOLS,3,98,41.977557454, -87.946866017
MORRISON INSTITUTE OF TECHNOLOGY,IL,111,WHITESIDE,JUNIOR COLLEGES,2,86,41.801765119, -89.96626671
PARIS II EDUCATIONAL CENTER,MO,111,CLAY,COSMETOLOGY AND BARBER SCHOOLS,3,101,39.218818473, -94.576738624
RAZZLE DAZZLE COLLEGE OF HAIR DESIGN INC,ID,111,CANYON,COSMETOLOGY AND BARBER SCHOOLS,2,100,43.567767909, -116.56341282
LINDSEY INSTITUTE OF COSMETOLOGY,KY,111,WARREN,COSMETOLOGY AND BARBER SCHOOLS,2,102,36.947409756, -86.422152193
MOLER BARBER COLLEGE,CA,111,ALAMEDA,COSMETOLOGY AND BARBER SCHOOLS,3,102,37.827075454, -122.265352056
NEW CONCEPTS SCHOOL OF COSMETOLOGY,TN,111,BRADLEY,COSMETOLOGY AND BARBER SCHOOLS,3,101,35.153610346, -84.895258549
PAUL MITCHELL THE SCHOOL-SCHENECTADY,NY,111,SCHENECTADY,COSMETOLOGY AND BARBER SCHOOLS,3,93,42.813232765, -73.942038348
REGENCY BEAUTY INSTITUTE-WINSTON-SALEM,NC,111,FORSYTH,COSMETOLOGY AND BARBER SCHOOLS,3,104,36.066943738, -80.250263876
BEAUMONT ADULT SCHOOL,CA,111,RIVERSIDE,OTHER TECHNICAL AND TRADE SCHOOLS,3,93,33.951364555, -116.964728476
SAE INSTITUTE OF TECHNOLOGY-MIAMI,FL,111,MIAMI-DADE,OTHER TECHNICAL AND TRADE SCHOOLS,3,94,25.923902431, -80.155491726
UNITECH TRAINING ACADEMY-ALEXANDRIA,LA,111,RAPIDES,OTHER TECHNICAL AND TRADE SCHOOLS,3,91,31.322493525, -92.534684641
INTERNATIONAL YACHT RESTORATION SCHOOL,RI,111,NEWPORT,OTHER TECHNICAL AND TRADE SCHOOLS,2,85,41.480947996, -71.314724196
GLORIA FRANCIS SCHOOL OF MAKE-UP ARTISTRY,NY,112,NASSAU,COSMETOLOGY AND BARBER SCHOOLS,3,100,40.764129187, -73.52684826
OSWEGO COUNTY BOCES,NY,112,OSWEGO,OTHER TECHNICAL AND TRADE SCHOOLS,3,95,43.457840806, -76.259307652
COSMIX SCHOOL OF MAKEUP ARTISTRY,FL,112,BROWARD,COSMETOLOGY AND BARBER SCHOOLS,3,92,26.170271, -80.146062
ST BERNARD'S SCHOOL OF THEOLOGY AND MINISTRY,NY,112,MONROE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,93,43.102185208, -77.526325514
KIAMICHI TECHNOLOGY CENTER-HUGO,OK,112,CHOCTAW,BUSINESS AND SECRETARIAL SCHOOLS,3,86,34.008320316, -95.494474177
VALLEY COLLEGE OF MEDICAL CAREERS,CA,112,LOS ANGELES,OTHER TECHNICAL AND TRADE SCHOOLS,2,94,34.222009589, -118.605391274
ALASKA CHRISTIAN COLLEGE,AK,112,KENAI PENINSULA,OTHER TECHNICAL AND TRADE SCHOOLS,2,68,60.490459178, -151.136005487
